rating,review
5,"The game is very fun and addictive. It's fun to play when there is nothing to do or to just kill time. I do have one problem with the game though. After a certain amount of games played, you will stop earning your daily chest after a game and since I do play the game a lot, I run out of chests pretty quick and when I'm not getting any rewards for playing, I feel like I'm playing for nothing. Even the 4 chests spots fill up fast so I rarely get anything for playing"
5,"fun to play. however, there should be like we are able to play with friends in facebook or something. link our friends together somehow. instead of playing against random people or computer only."
5,"Having a fun time playing the game. All the different characters give me a nostalgia feeling from back in the day. Haven't come across any bugs and the in-app purchases are reasonably priced. Wish there was a way to race against friends, but other than that Sonic Forces is awesome!"
5,Really good it might be a bit glitchy at first but it gets better amazing game
5,I like the song and the graphics. I love EVERY thing in the game
5,"Great game but tons of glitches. I had all characters unloced except for the female z. I also had baby sonic and slugger sonic, now all of my progress was erased, thus making the YEAR i spent on this game put to waste. Im disappointed in this game. Edit: I found that if you uninstall. the game then reinstall it, you sould get a message saying they are getting your account information back and giving you the. account back."
5,"This Game is so Amazing! Hello Sega, This is Max Here and Right now I am Rating Sonic Forces. I Like this Game Because You Get To play as all Of the Sonic Characters in the game, and you can Race other players, And Also I Like The new Sonic movie Update, Nice Job. 😉 And You also Have Quests To do and once you complete Them...YOU GET CHESTS! You know what they say. GOTTA GO FAST! And I'm Gonna go FAST Right outta here. Bye!"
5,I love Sonic Forces I just downloaded the game a few weeks ago and it's Epic and I hope this is not to much to ask for but can you please add Dr.Robotnik/Dr.Eggman as a playable character and can you guys please add a game mode where you can battle other characters against each other that would be c...
5,This game is way better than I thought. It is like sonic dash but with better graphics more characters! And more microtransactions... that's not a good thing I guess. But there are always good deals to! Say there could be a 9.99$ for only 2.99 one day! It is cool and is a good time waster!
5,"It is a fun game and while I don't think it has as much potential as Sonic Dash, which is in desperate need of new characters and alternate looks for characters, something this game should also consider. Never the less, it is still a fun game and worth a download. I personally play both this and the first Dash game a lot."
5,It is the best sonic game. i found out big the cat is a good guy.The game has all the charecter and even costumes.
5,i really like the game but dont make us use 100 red star rings to change our name please.Keep going and never stop updating the game.Your doing an incredible job!!!!!!!!
5,"It's a good game, but some of the characters are ridiculously hard to unlock."
5,"Fantastic! It's really great game I can't say anything bad about it, bcs it's perfect"
